AgencyID,Agency_Name,Standard_Name,Region,Region_Code,City
A114,Cowichan Women Against Violence - Somenos Transition House Program,Cowichan Women Against Violence Society,Vancouver Island , CNVI,Duncan
A114,Cowichan Women Against Violence Society,Cowichan Women Against Violence Society,Vancouver Island , CNVI,Duncan
A114,Cowichan Women Against Violence Society ,Cowichan Women Against Violence Society,Vancouver Island , CNVI,Duncan
A115,CR Womens Centre,CR Womens Centre,Vancouver Island , CNVI,Campbell River
A116,Cranbrook Boys & Girls Club - Youth Impact,Cranbrook Boys & Girls Club - Youth Impact,Kootenay , SIBC,
A117,Cranbrook Boys and Girls Club,Cranbrook Boys and Girls Club,Kootenay , SIBC,Cranbrook
A118,Cranbrook Food Bank Society ,Cranbrook Food Bank Society ,Kootenay , SIBC,Cranbrook
A119,Creative Centre Society,Creative Centre Society,Lower Mainland , LMFV,Abbotsford
A120,Creative Centre Society - Abbotsford,Creative Centre Society - Abbotsford,Lower Mainland , LMFV,Chilliwack
A121,Creative Centre Society - Cheamview Clubhouse,Creative Centre Society - Cheamview Clubhouse,Lower Mainland , LMFV,Chilliwack
A122,Creative Centre Society - Chilliwack,Creative Centre Society - Chilliwack,Lower Mainland , LMFV,Chilliwack
A123,Creative Centre Society- Abby House,Creative Centre Society- Abby House,Lower Mainland , LMFV,Abbotsford
A124,Creative Kids,Creative Kids,Lower Mainland ,LMFV,Surrey
A124,Creative Kids Daycare,Creative Kids,Lower Mainland ,LMFV,Surrey
A125,Creston Valley Community Services,Creston Valley Community Services,Kootenay , SIBC,
A126,Crisis Intervention and Suicide Prevention Centre of BC,Crisis Intervention and Suicide Prevention Centre of BC,Lower Mainland ,LMFV,Vancouver
A127,CUPW,CUPW,Lower Mainland ,LMFV,Vancouver
A128,CWB,CWB,Lower Mainland ,LMFV,Vancouver
A129,Cythera Transition House Society,Cythera Transition House Society,Lower Mainland , LMFV,Maple Ridge
A130,Dawson Creek City Hall,Dawson Creek City Hall,North Coast,North,Dawson Creek
A130,Dawson Creek City Hall ,Dawson Creek City Hall,North Coast,North,Dawson Creek
A131,Dawson Creek Coop,Dawson Creek Coop,North Coast,North,Dawson Creek
A131,Dawson Creek Co-operative Union,Dawson Creek Coop,North Coast,North,Dawson Creek
A132,Dawson Creek Municipal Library,Dawson Creek Municipal Library,North Coast,North,Dawson Creek
A132,Dawson Creek Municipal Library ,Dawson Creek Municipal Library,North Coast,North,Dawson Creek
A133,Delta,Deltassist Family & Community Services Society,Lower Mainland , LMFV,Delta
A133,Delta Assist,Deltassist Family & Community Services Society,Lower Mainland , LMFV,Delta
A133,Deltassist,Deltassist Family & Community Services Society,Lower Mainland , LMFV,Delta
A133,Deltassist Family & Community Services Society,Deltassist Family & Community Services Society,Lower Mainland , LMFV,Delta
A133,Deltassist Family and Community Services Society,Deltassist Family & Community Services Society,Lower Mainland , LMFV,Delta
A134,Dentons,Dentons,Lower Mainland , LMFV,Vancouver
A135,Desert Sun Community Resources,Desert Sun Community Resources,Kootenay , SIBC,
A136,District of Chetwynd- Rec Centre,District of Chetwynd- Rec Centre,Northeast,Northeast,Chetwynd
A137,District of Houston,District of Houston,Northeast,Northeast,Houston
A137,District of Houston Leisure Facility,District of Houston,Northeast,Northeast,Houston
A138,Diversecity Community Resource Society,Diversecity Community Resource Society,Lower Mainland , LMFV,Surrey
A138,DIVERSEcity Community Resources Society,Diversecity Community Resource Society,Lower Mainland , LMFV,Surrey
A138,Diversecity Community Resources Society,Diversecity Community Resource Society,Lower Mainland , LMFV,Surrey
A138,DIVERSEcity Community Services Society ,Diversecity Community Resource Society,Lower Mainland , LMFV,Surrey
A139,Dixon Transition Society,Dixon Transition Society,Lower Mainland , LMFV,Burnaby
A139,Donations at the Office after Drive Thru,Dixon Transition Society,Lower Mainland , LMFV,Burnaby
A140,Don't Go Hungry Food Support Program - St. Aidan's Presbyterian Church,Don't Go Hungry Food Support Program - St. Aidan's Presbyterian Church,Lower Mainland , LMFV,New Westminster
A141,Downtown Eastside Neighbourhood House,Downtown Eastside Neighbourhood House,Lower Mainland , LMFV,Vancouver
A141,Downtown Eastside Neighbourhood Society,Downtown Eastside Neighbourhood House,Lower Mainland , LMFV,Vancouver
A142,Dress For Less Thrift Store,Dress For Less Thrift Store,,,
A143,Drive Thru to Donate,Drive Thru to Donate,,,
A143,Drive Thru to Donate ,Drive Thru to Donate,,,
A144,DTES - Kyra's Christmas Wish,DTES Neighbourhood House ,Lower Mainland , LMFV,Vancouver
A144,DTES Neighbourhood House ,DTES Neighbourhood House ,Lower Mainland , LMFV,Vancouver
A144,DTES Response - Everbody Is In Community Hubs,DTES Neighbourhood House ,Lower Mainland , LMFV,New Westminster
A145,Dze L K'ant Friendship Centre Scoiety,Dze L K'ant Friendship Centre Scoiety,North Coast,North,Smithers
A146,Eagle Valley Community Support Society ,Eagle Valley Community Support Society ,Thompson Okanagan , SIBC,
A147,Elizabeth Bagshaw Society,Elizabeth Bagshaw Society,Lower Mainland , LMFV,New Westminster
A148,Elizabeth Fry Society,Elizabeth Fry Society,Lower Mainland , LMFV,New Westminster
A148,Elizabeth Fry Society of Greater Vancouver,Elizabeth Fry Society,Lower Mainland , LMFV,New Westminster
A148,Elizabeth Fry Society of Greater Vancouver,Elizabeth Fry Society,Lower Mainland , LMFV,New Westminster
A148,The Elizabeth Fry Society of Greater Vancouver,Elizabeth Fry Society,Lower Mainland , LMFV,Burnaby
A148,The Elizbeth Fry Society Of Greater Vancovuer,Elizabeth Fry Society,Lower Mainland , LMFV,Burnaby
A149,Ellendale Elementary,Ellendale Elementary,Lower Mainland , LMFV,Surrey
A150,Encompass Support Services Society,Encompass Support Services Society,Lower Mainland , LMFV,Langley
A151,Enderby & District Community Resource Centre,Enderby & District Community Resource Centre,Thompson Okanagan , SIBC,
A152,Engaged Communities,Engaged Communities,Lower Mainland , LMFV,Vancouver
A153,Envision Credit Union,Envision Credit Union,Lower Mainland ,LMFV,Mission
A154,Face of Today,Face of Today,Lower Mainland , LMFV,Vancouver 
A154,Face of Today Foundation ,Face of Today,Lower Mainland , LMFV,Vancouver 
A155,Family Dynamix Association,Family Dynamix Association,Kootenay , SIBC,Cranbrook
A156,Family Educational Support,Family Services of Greater Vancouver,Lower Mainland , LMFV,Vancouver
A156,Family Services of Greater Vancouver,Family Services of Greater Vancouver,Lower Mainland , LMFV,Vancouver
A157,FIELDS,FIELDS,Lower Mainland ,LMVF,Delta
A158,Flint,Flint,Lower Mainland ,LMVF,Burnaby
A159,Flint ,Flint ,Lower Mainland ,LMVF,Burnaby
A160,Food Hubs,Food Hubs,Lower Mainland , LMFV,Vancouver
A161,Fort Nelson IDA- Pharmacy,Fort Nelson IDA- Pharmacy,North Coast,North,Fort Nelson
A162,Fort Nelson Public Library,Fort Nelson Public Library,North Coast,North,Fort Nelson
A163,Fort St. James Chamber of Commerce,Fort St. James Chamber of Commerce,Cariboo ,TNC,Fort St James
A164,Fort St. James Integris,Fort St. James Integris,Cariboo ,TNC,Fort St James
A165,Fort St. James Secondary School,Fort St. James Secondary School,Cariboo ,TNC,Fort St James
A166,Fort St. John Co-op,Fort St. John Co-op,Cariboo ,TNC,Fort St John
A167,Forward House Community Society,Forward House Community Society,Vancouver Island ,CNVI,Parksville
A168,Foundry Abbotsford,Foundry Abbotsford,Lower Mainland , LMFV,Abbotsford
A169,Foundry Ridge Meadows,Foundry Ridge Meadows,Lower Mainland , LMFV,Maple Ridge
A170,Foundry Sea to Sky (In connection to Sea to Sky Community Services),Foundry Sea to Sky (In connection to Sea to Sky Community Services),Lower Mainland , LMFV,Squamish
A171,Four Rivers Co-op,Four Rivers Co-op,North Coast,North,Quesnel
A172,FRAFCA,FRAFCA,Lower Mainland , LMFV,Surrey
A173,Fraser Health ,Fraser Health ,Lower Mainland , LMFV,Surrey
A174,Fraser region aboriginal friendship Center association ,Fraser Region Aboriginal Friendship Centre Association ,Lower Mainland , LMFV,Surrey
A174,Fraser Region Aboriginal Friendship Centre Association,Fraser Region Aboriginal Friendship Centre Association ,Lower Mainland , LMFV,Surrey
A174,Fraser Region Aboriginal Friendship Centre Association ,Fraser Region Aboriginal Friendship Centre Association ,Lower Mainland , LMFV,Surrey
A175,Free Periods,Free Periods Canada,Lower Mainland , LMFV,Vancouver
A175,Free Periods Canada,Free Periods Canada,Lower Mainland , LMFV,Vancouver
A176,Friendship Centre,Friendship Centre,Thompson Okanagan , SIBC,
A177,Frog Hollow Neighbourhood House,Frog Hollow Neighbourhood House,Lower Mainland , LMFV,Vancouver
A178,Frontier College,Frontier College,Lower Mainland , LMFV,Vancouver
A179,Generation to Generation Society,Generation to Generation Society,Kootenay , SIBC,Trail
A180,God's Gift (Food Hub),God's Gift (Food Hub),Lower Mainland , LMFV,Vancouver
A181,Gold River Food Network,Gold River Food Network,Vancouver Island ,CNVI,
A182,Golden Women's Resource Centre,Golden Women's Resource Centre,Thompson Okanagan , SIBC,
A183,Gordan Neighbourhood House,Gordon Neighbourhood House,Lower Mainland , LMFV,Vancouver
A183,Gordon Neighbourhood House,Gordon Neighbourhood House,Lower Mainland , LMFV,Vancouver
A184,Guru Nanak's Free Kitchen Society,Guru Nanak's Free Kitchen Society,Lower Mainland ,LMFV,Burnaby
A185,Haven Soceity,Haven Soceity,Vancouver Island ,CNVI,
A186,Heartstrings Home Décor & Gifts,Heartstrings Home Décor & Gifts,North Coast,North,Smithers
A187,Hello Period!,Hello Period!,,,
A188,Helping Out People Exploited,Helping Out People Exploited,Thompson Okanagan , SIBC,Kelowna
A189,HEU-VGH,HEU-VGH,,,
A190,Hi Neighbour,Hi Neighbour - Food Hubs,Lower Mainland , LMFV,Vancouver
A190,Hi Neighbour - Food Hubs,Hi Neighbour - Food Hubs,Lower Mainland , LMFV,Vancouver
A191,Hiiye’yu Lelum Society-House of Friendship ,Hiiye’yu Lelum Society-House of Friendship ,Vancouver Island ,CNVI,
A192,Hope & Area Transition Society,Hope & Area Transition Society,Lower Mainland , LMFV,Hope
A193,Hope and Area Transition Society,Hope and Area Transition Society,Lower Mainland , LMFV,Hope
A194,HOPE Outreach,HOPE Outreach,Kootenay , SIBC,
A195,Hopewell Clinic and Pregnancy Centre,Hopewell Clinic and Pregnancy Centre,Thompson Okanagan , SIBC,Kamloops
A196,Hornby Denman Community Health Care Society,Hornby Denman Community Health Care Society,Vancouver Island ,CNVI,Hornby Island
A197,Hornby Island Education Society- The Community Kitchen/Food Bank,Hornby Island Education Society- The Community Kitchen/Food Bank,Vancouver Island ,CNVI,Hornby Island
A197,Hornby Island Educational Society-Hornby Island Community Kitchen/Food Bank,Hornby Island Education Society- The Community Kitchen/Food Bank,Vancouver Island ,CNVI,Hornby Island
A198,Houston Community Services Association,Houston Community Services Association,Lower Mainland ,LMVI,
A199,Houston Today,Houston Today,North Coast,North,Houston
A200,HSBC,HSBC,Lower Mainland , LMFV,Vancouver
A201,IATSE 891,IATSE 891,,,
A201,IATSI 891,IATSE 891,,,
A202,ICBC,ICBC,,,
A203,Immigrant Services Society of BC,Immigrant Services Society of BC,Lower Mainland , LMFV,Vancouver
A204,Immigrant Welcome Centre Nanaimo,Immigrant Welcome Centre Nanaimo,Vancouver Island ,CNVI,
A205,"Indigenous Heath VCH, Indigenous Health Doula's Team","Indigenous Heath VCH, Indigenous Health Doula's Team",,,
A206,Integris,Integris Credit Union,Cariboo ,TNC,Clinton
A206,Integris Credit Union,Integris Credit Union,Cariboo , TNC,Prince George
A206,Integris Credit Union - 5th Ave,Integris Credit Union,Cariboo , TNC,Prince George
A206,Integris Credit Union - Central Avenue,Integris Credit Union,Cariboo , TNC,Prince George
A206,Integris Credit Union - Ferry Avenue,Integris Credit Union,Cariboo , TNC,Prince George
A206,Integris Credit Union - HO + 6th Avenue,Integris Credit Union,Cariboo , TNC,Prince George
A206,Integris Credit Union - Member donation - she collected all year,Integris Credit Union,Cariboo , TNC,Prince George
A206,Integris Credit Union - River Point,Integris Credit Union,Cariboo , TNC,Prince George
A206,Integris Credit Union - Town Centre,Integris Credit Union,Cariboo , TNC,Prince George
A206,Integris Credit Union (5th & Central),Integris Credit Union,Cariboo , TNC,Prince George
A206,Integris Credit Union (River Point),Integris Credit Union,Cariboo , TNC,Prince George
A206,Integris Credit Union (Town Centre),Integris Credit Union,Cariboo , TNC,Prince George
A207,International Longshore and Warehouse Union - Canada,International Longshore and Warehouse Union - Canada,Lower Mainland ,LMFV,Vancouver
A208,Ishtar Womens Resource Society,Ishtar Women's Resource Society,Lower Mainland , LMFV,Langley
A208,Ishtar Women's Resource Society,Ishtar Women's Resource Society,Lower Mainland , LMFV,Langley
A209,Island Crisis Care Society,Island Crisis Care Society,Vancouver Island ,CNVI,Naniamo
A210,ISS of BC,ISSofBC,Lower Mainland , LMFV,Vancouver
A210,ISSofBC,ISSofBC,Lower Mainland , LMFV,Vancouver
A211,Jewish Community Centre Greater Vancouver,Jewish Community Centre of Greater Vancouver,Lower Mainland , LMFV,Vancouver
A211,Jewish Community Centre of Greater Vancouver,Jewish Community Centre of Greater Vancouver,Lower Mainland , LMFV,Vancouver
A212,Jewish Family Service Agency Vancouver,Jewish Family Services,Lower Mainland , LMFV,Vancouver
A212,Jewish Family Services,Jewish Family Services,Lower Mainland , LMFV,Vancouver
A213,Joni,Joni,Lower Mainland , LMFV,Vancouver
A213,joni (purchased with leftover funds),Joni,Lower Mainland , LMFV,Vancouver
A214,Kamloops & District Elizabeth Fry Society,Kamloops & District Elizabeth Fry Society,Thompson Okanagan , SIBC,Kamloops
A215,Kamloops Cariboo Regional Immigrant Society,Kamloops Cariboo Regional Immigrant Society,Thompson Okanagan , SIBC,Kamloops
A216,Kamloops Family Resource Society ,Kamloops Family Resource Society ,Thompson Okanagan , SIBC,Kamloops
A217,Kamloops Immigrant Services,Kamloops Immigrant Services,Thompson Okanagan , SIBC,
